Name,Date & Time,Location,Type,Region
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024, Seattle Art Museum,Museums,Downtown
The Moors,3/22/2024 through 4/14/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
Mahler Symphony No. 3,4/11/2024 through 4/14/2024, Benaroya Hall,Music,Downtown
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024, Magnuson Park,Festivals & Special Events,University District
An Evening with Jinjoo Cho,4/19/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024, Benaroya Hall,Music,Downtown
The Seasons’ Canon,4/12/2024 through 4/21/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
DRUM TAO 30th Anniversary,4/22/2024, Benaroya Hall,Music,Downtown
Disney’s Aladdin,4/24/2024 through 4/28/2024, The Paramount Theatre,Theatre,Downtown
Antarctic Symphony,4/25/2024 through 4/28/2024, Benaroya Hall,Music,Downtown
Shine On Seattle,1/30/2024 through 4/29/2024, Pioneer Square,Festivals & Special Events,Pioneer Square
Noah Geller’s Playlist,5/3/2024 through 5/4/2024, Benaroya Hall,Music,Downtown
Broadway Spectacular,5/4/2024, Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024, Frye Art Museum,Museums,Capitol Hill / Central District
The Lion Tells His Tale,5/1/2024 through 5/5/2024, Broadway Performance Hall,Theatre,Capitol Hill / Central District
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024, Wing Luke Museum,Museums,International District
Fat Ham,4/12/2024 through 5/12/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
The Lehman Trilogy,4/26/2024 through 5/12/2024, ACT Theatre,Theatre,Downtown
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024, Benaroya Hall,Readings & Lectures,Downtown
Mother,5/17/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Barber Violin Concerto,5/16/2024 through 5/18/2024, Benaroya Hall,Music,Downtown
The Barber of Seville,5/4/2024 through 5/24/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Unriveled,5/10/2024 through 6/2/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024, Benaroya Hall,Music,Downtown
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024, Benaroya Hall,Music,Downtown
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024, Seattle Art Museum,Museums,Downtown
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024, Benaroya Hall,Music,Downtown
"Together Again, Again!",5/31/2024 through 6/23/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
Lip Sync for Our Rights,6/22/2024 through 6/23/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Company,6/23/2024 through 6/28/2024, The Paramount Theatre,Music,Downtown
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024, Henry Art Gallery,Museums,University District
Spring Awakening,6/7/2024 through 6/30/2024, The 5th Avenue Theatre,Theatre,Downtown
Girl From The North Country,6/25/2024 through 6/30/2024, The Paramount Theatre,Music,Downtown
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024, National Nordic Museum,Museums,Fremont / Ballard
Clue,7/9/2024 through 7/21/2024, The 5th Avenue Theatre,Theatre,Downtown
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024, Wing Luke Museum,Museums,International District
Olivia Rodrigo,8/6/2024 through 8/7/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Sound Check! The Music We Make,Now through 9/14/2024, Wing Luke Museum,Museums,International District
Raul de Nieves,Now through 9/30/2024, Henry Art Gallery,Museums,University District
Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024, Tacoma Art Museum,Museums,South
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026, Bellevue Arts Museum,Museums,Bellevue / Eastside
Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown
Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown
Infinite Worlds of Science Fiction,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
John Grade: Middle Fork,Ongoing, Seattle Art Museum,Museums,Downtown
Scared to Death: The Thrill of Horror Film,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Nirvana: Taking Punk To the Masses,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Vietnam Divided: War Above Southeast Asia,Ongoing, The Museum of Flight,Museums,South Seattle
Science Fiction and Fantasy Hall of Fame,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing, Wing Luke Museum,Museums,International District
Honoring Our Journey,Ongoing, Wing Luke Museum,Museums,International District
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing, Museum of Glass,Museums,South
Great Hall of Washington History,Ongoing, Washington State History Museum,Museums,South
Humboldt Penguin Exhibit,Ongoing, Woodland Park Zoo,Museums,Wallingford / Greenlake
Giant Pacific Octopus,Ongoing, Seattle Aquarium,Museums,Downtown
Meet our Marine Mammals,Ongoing, Seattle Aquarium,Museums,Downtown
Window on Washington Waters,Ongoing, Seattle Aquarium,Museums,Downtown
Guitar Gallery,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Nordic Journeys,Ongoing, National Nordic Museum,Museums,Fremont / Ballard
Baird’s beaked whale,Ongoing, Burke Museum,Museums,University District
Amazing Life,Ongoing, Burke Museum,Museums,University District
Culture is Living,Ongoing, Burke Museum,Museums,University District
Fossils Uncovered,Ongoing, Burke Museum,Museums,University District
Northwest Native Art,Ongoing, Burke Museum,Museums,University District
Our Material World,Ongoing, Burke Museum,Museums,University District
Apollo,Ongoing, The Museum of Flight,Museums,South Seattle
Art and Life Along the Northwest Coast,Ongoing, Seattle Art Museum,Museums,Downtown
Washington: My Home,Ongoing, Washington State History Museum,Museums,South
Sensory-Friendly Programs,Ongoing, MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center
Dale Chihuly at Tacoma Art Museum,Ongoing, Tacoma Art Museum,Museums,South
Be/longing: Contemporary Asian Art,Ongoing, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Porcelain Room,Ongoing, Seattle Art Museum,Museums,Downtown
